,phrase,label,sentiment,subjectivity,language,count
European,European,NORP,,,en,5.499999999999998
the World Cup,the World Cup,EVENT,,,en,5.3999999999999995
the coming days,the coming days,DATE,,,en,5.3
seven,seven,CARDINAL,,,en,5.299999999999999
January,January,DATE,,,en,5.1
13,13,MONEY,,,en,4.9
six,six,CARDINAL,,,en,4.799999999999999
recent days,recent days,DATE,,,en,4.699999999999999
ten,ten,CARDINAL,,,en,4.6000000000000005
Mexican,Mexican,NORP,,,en,4.6
American,American,NORP,,,en,4.599999999999999
summer,summer,DATE,,,en,4.1000000000000005
11,11,DATE,,,en,4.099999999999999
eight,eight,CARDINAL,,,en,4.099999999999999
40th,40th,ORDINAL,,,en,4.0
millions,millions,CARDINAL,,,en,3.999999999999999
dozens,dozens,CARDINAL,,,en,3.9000000000000004
Juiz de Fora,Juiz de Fora,FAC,,,en,3.9000000000000004
16,16,CARDINAL,,,en,3.9000000000000004
April,April,DATE,,,en,3.8999999999999995
the next few days,the next few days,DATE,,,en,3.8
World Cup,World Cup,EVENT,,,en,3.7999999999999994
10,10,CARDINAL,,,en,3.6999999999999993
Spaniards,Spaniards,NORP,,,en,3.6999999999999993
decades,decades,DATE,,,en,3.5999999999999996
14,14,CARDINAL,,,en,3.5999999999999996
third,third,ORDINAL,,,en,3.599999999999999
Eight,Eight,CARDINAL,,,en,3.5
10 years,10 years,DATE,,,en,3.4000000000000004
1,1,CARDINAL,,,en,3.3
yesterday,yesterday,DATE,,,en,3.2999999999999994
another day,another day,DATE,,,en,3.0999999999999996
Italian,Italian,NORP,,,en,3.0999999999999996
30,30,CARDINAL,,,en,3.0999999999999996
Thousands,Thousands,CARDINAL,,,en,3.0999999999999996
33,33,CARDINAL,,,en,2.9000000000000004
nine,nine,CARDINAL,,,en,2.8999999999999995
4.3,4.3,CARDINAL,,,en,2.8
afternoon,afternoon,TIME,,,en,2.8
thousands,thousands,CARDINAL,,,en,2.8
One,One,CARDINAL,,,en,2.8
May,May,DATE,,,en,2.7
up to 9 meters,up to 9 meters,QUANTITY,,,en,2.7
The week,The week,DATE,,,en,2.7
a few hours,a few hours,TIME,,,en,2.7
Holy Week,Holy Week,EVENT,,,en,2.6
hundreds,hundreds,CARDINAL,,,en,2.6
35,35,CARDINAL,,,en,2.5999999999999996
months,months,DATE,,,en,2.5999999999999996
sixth,sixth,ORDINAL,,,en,2.5999999999999996
Winter Olympics,Winter Olympics,EVENT,,,en,2.5999999999999996
2024,2024,DATE,,,en,2.5
Latin American,Latin American,NORP,,,en,2.5
36,36,CARDINAL,,,en,2.5
the last hours,the last hours,TIME,,,en,2.5
French,French,NORP,,,en,2.5
the Argentine Cup,the Argentine Cup,EVENT,,,en,2.5
3,3,CARDINAL,,,en,2.5
This weekend,This weekend,DATE,,,en,2.4
overnight,overnight,TIME,,,en,2.4
May Long Weekend,May Long Weekend,DATE,,,en,2.4
5,5,CARDINAL,,,en,2.4
CDATA[<p,CDATA[<p,NORP,,,en,2.4
more than half,more than half,CARDINAL,,,en,2.4
10 degrees,10 degrees,QUANTITY,,,en,2.4
7.7,7.7,CARDINAL,,,en,2.4
the afternoon,the afternoon,TIME,,,en,2.4
World Championship,World Championship,EVENT,,,en,2.4
next week,next week,DATE,,,en,2.3999999999999995
the Goya Awards,the Goya Awards,WORK_OF_ART,,,en,2.3000000000000003
This week,This week,DATE,,,en,2.3
The day,The day,DATE,,,en,2.3
tomorrow,tomorrow,DATE,,,en,2.3
zero,zero,CARDINAL,,,en,2.3
fourth,fourth,ORDINAL,,,en,2.3
Panticosa,Panticosa,NORP,0.20000000000000004,0.4666666666666666,en,2.3
April 2026,April 2026,DATE,,,en,2.3
annual,annual,DATE,,,en,2.3
daily,daily,DATE,,,en,2.3
the last decade,the last decade,DATE,,,en,2.2
Galician,Galician,NORP,,,en,2.2
January 2026,January 2026,DATE,,,en,2.2
18,18,CARDINAL,,,en,2.2
12,12,CARDINAL,,,en,2.2
Today,Today,DATE,,,en,2.2
the Winter Olympics,the Winter Olympics,EVENT,,,en,2.2
2022,2022,DATE,,,en,2.2
one hour,one hour,TIME,,,en,2.1999999999999997
Colombian,Colombian,NORP,,,en,2.1
Three,Three,CARDINAL,,,en,2.1
Six,Six,CARDINAL,,,en,2.1
25,25,CARDINAL,,,en,2.0
2010,2010,DATE,,,en,2.0
the May long weekend,the May long weekend,DATE,,,en,2.0
27,27,CARDINAL,,,en,2.0
28,28,CARDINAL,,,en,2.0
10 days,10 days,DATE,,,en,2.0
February 28,February 28,DATE,,,en,2.0
Iberian,Iberian,NORP,,,en,2.0
Catholic,Catholic,NORP,,,en,2.0
the coming hours,the coming hours,TIME,,,en,2.0
5%,5%,PERCENT,,,en,2.0
15,15,CARDINAL,,,en,2.0
the Centenario Stadium,the Centenario Stadium,FAC,,,en,1.9999999999999998
Norwegian,Norwegian,NORP,,,en,1.9000000000000001
4.1,4.1,CARDINAL,,,en,1.9000000000000001
fifth,fifth,ORDINAL,,,en,1.9000000000000001
Conaprole,Conaprole,NORP,,,en,1.9000000000000001
these days,these days,DATE,,,en,1.9000000000000001
the 2026 World Cup,the 2026 World Cup,EVENT,,,en,1.9000000000000001
million-dollar,million-dollar,MONEY,,,en,1.9000000000000001
weeks,weeks,DATE,,,en,1.9000000000000001
20,20,CARDINAL,,,en,1.9000000000000001
Two,Two,CARDINAL,,,en,1.9000000000000001
Indian,Indian,NORP,,,en,1.9000000000000001
Uruguayan Championship 2026,Uruguayan Championship 2026,EVENT,,,en,1.9000000000000001
this day,this day,DATE,,,en,1.9000000000000001
90,90,CARDINAL,,,en,1.9000000000000001
up to 20 liters,up to 20 liters,QUANTITY,,,en,1.9
21,21,CARDINAL,,,en,1.9
"this Tuesday, December 16","this Tuesday, December 16",DATE,,,en,1.9
2027,2027,DATE,,,en,1.8
Half,Half,CARDINAL,,,en,1.8
trans-Andean,trans-Andean,NORP,,,en,1.8
spring,spring,DATE,,,en,1.8
7.5,7.5,CARDINAL,,,en,1.8
"More than 8,000","More than 8,000",CARDINAL,,,en,1.8
the month of February,the month of February,DATE,,,en,1.8
March,March,DATE,,,en,1.8
37,37,CARDINAL,,,en,1.8
64,64,CARDINAL,,,en,1.8
12 hours,12 hours,TIME,,,en,1.8
February 4,February 4,DATE,,,en,1.7
8,8,CARDINAL,,,en,1.7
annually,annually,DATE,,,en,1.7
the last hour,the last hour,TIME,,,en,1.7
32,32,CARDINAL,,,en,1.7
eighth,eighth,ORDINAL,,,en,1.7
the time of year,the time of year,DATE,,,en,1.7
one year,one year,DATE,,,en,1.7
another week,another week,DATE,,,en,1.7
Japanese,Japanese,NORP,,,en,1.7
45,45,CARDINAL,,,en,1.7
June,June,DATE,,,en,1.7
112,112,CARDINAL,,,en,1.7
61 cm,61 cm,QUANTITY,,,en,1.7
"today, Saturday","today, Saturday",DATE,,,en,1.7
at least 30,at least 30,CARDINAL,,,en,1.7
Nordic,Nordic,NORP,,,en,1.7
April 13,April 13,DATE,,,en,1.7
a weekend,a weekend,DATE,,,en,1.7
a month of January,a month of January,DATE,,,en,1.7
Winter Games,Winter Games,EVENT,,,en,1.7
20 years,20 years,DATE,,,en,1.7
autumn,autumn,DATE,,,en,1.7
39,39,CARDINAL,,,en,1.7
1980,1980,DATE,,,en,1.7
MetSul,MetSul,WORK_OF_ART,,,en,1.7
last night,last night,TIME,,,en,1.7
the long weekend,the long weekend,DATE,,,en,1.7
At least two,At least two,CARDINAL,,,en,1.7
Riot Games,Riot Games,EVENT,,,en,1.7
Dozens,Dozens,CARDINAL,,,en,1.7
at least 23,at least 23,CARDINAL,,,en,1.7
Between Monday and Tuesday,Between Monday and Tuesday,DATE,,,en,1.7
up to,up to,CARDINAL,,,en,1.7
Asian,Asian,NORP,,,en,1.7
the month of June,the month of June,DATE,,,en,1.7
41,41,CARDINAL,,,en,1.7
Spaniard,Spaniard,NORP,,,en,1.7
hundreds of kilometers,hundreds of kilometers,QUANTITY,,,en,1.7
German,German,NORP,,,en,1.6
Boca,Boca,FAC,0.15,0.32333333333333336,en,1.6
a year,a year,DATE,,,en,1.6
four-year,four-year,DATE,,,en,1.6
this winter,this winter,DATE,,,en,1.6
the first day,the first day,DATE,,,en,1.6
7,7,CARDINAL,,,en,1.6
the second half,the second half,DATE,,,en,1.6
September,September,DATE,,,en,1.6
1986,1986,DATE,,,en,1.6
Iranian,Iranian,NORP,,,en,1.6
a week,a week,DATE,,,en,1.6
Brazilians,Brazilians,NORP,,,en,1.6
morning,morning,TIME,,,en,1.6
night,night,TIME,,,en,1.6
hundred,hundred,CARDINAL,,,en,1.6
This Tuesday,This Tuesday,DATE,,,en,1.6
the Winter Olympic Games,the Winter Olympic Games,EVENT,,,en,1.6
4,4,CARDINAL,,,en,1.6
four months,four months,DATE,,,en,1.6
50 years,50 years,DATE,,,en,1.6
2002,2002,DATE,,,en,1.6
15 years ago,15 years ago,DATE,,,en,1.6
Catalan,Catalan,NORP,,,en,1.6
26,26,CARDINAL,,,en,1.6
1983,1983,DATE,,,en,1.6
80 km/h,80 km/h,QUANTITY,,,en,1.6
three years,three years,DATE,,,en,1.6
Scandinavian,Scandinavian,NORP,,,en,1.6
February 2026,February 2026,DATE,,,en,1.6
Last year,Last year,DATE,,,en,1.6
6,6,CARDINAL,,,en,1.6
9,9,CARDINAL,,,en,1.6
Monthly,Monthly,DATE,,,en,1.6
Russian,Russian,NORP,,,en,1.6
the month,the month,DATE,,,en,1.6
17,17,CARDINAL,,,en,1.6
recent years,recent years,DATE,,,en,1.6
the days,the days,DATE,,,en,1.5
Cantabrian,Cantabrian,NORP,0.13205128205128203,0.7782051282051282,en,1.5
250,250,CARDINAL,,,en,1.5
the beginning of 2026,the beginning of 2026,DATE,,,en,1.5
the Auditori Forum CCIB,the Auditori Forum CCIB,FAC,,,en,1.4
500,500,CARDINAL,,,en,1.3
Chinese,Chinese,NORP,,,en,1.3
20th century,20th century,DATE,,,en,1.3
Almeria,Almeria,NORP,-0.051282051282051266,0.6923076923076922,en,1.3
Costa Rican,Costa Rican,NORP,,,en,1.3
the Apertura Tournament,the Apertura Tournament,EVENT,,,en,1.3
the second season,the second season,DATE,,,en,1.3
the Trans Law,the Trans Law,LAW,,,en,1.3
Central American,Central American,NORP,,,en,1.3
Nazi,Nazi,NORP,,,en,1.3
under 16 years of age,under 16 years of age,DATE,,,en,1.3
RAF,RAF,EVENT,,,en,1.3
300,300,CARDINAL,,,en,1.3
two days,two days,DATE,,,en,1.3
at least one,at least one,CARDINAL,,,en,1.3
"3,125 tons","3,125 tons",QUANTITY,,,en,1.3
a World Cup,a World Cup,EVENT,,,en,1.3
Seville International Puppet Fair,Seville International Puppet Fair,EVENT,,,en,1.3
Venezuelan,Venezuelan,NORP,,,en,1.3
square meter,square meter,QUANTITY,,,en,1.3
four hours,four hours,TIME,,,en,1.3
the Olympic Games,the Olympic Games,EVENT,,,en,1.3
15 years,15 years,DATE,,,en,1.3
1954,1954,DATE,,,en,1.3
This Friday,This Friday,DATE,,,en,1.3
one month,one month,DATE,,,en,1.3
31,31,CARDINAL,,,en,1.3
Basque,Basque,NORP,,,en,1.3
more than 100 million,more than 100 million,CARDINAL,,,en,1.3
2009,2009,DATE,,,en,1.3
"3,065","3,065",CARDINAL,,,en,1.3
thousands of hectares,thousands of hectares,QUANTITY,,,en,1.3
up to 85%,up to 85%,PERCENT,,,en,1.3
the last minute,the last minute,TIME,,,en,1.3
1962,1962,DATE,,,en,1.3
Canarian,Canarian,NORP,,,en,1.3
May',May',DATE,,,en,1.3
more than 10,more than 10,CARDINAL,,,en,1.3
April 11,April 11,DATE,,,en,1.3
2012,2012,DATE,,,en,1.3
120,120,CARDINAL,,,en,1.3
A dozen,A dozen,CARDINAL,,,en,1.3
the Glacier Law,the Glacier Law,LAW,,,en,1.3
the Copa Libertadores,the Copa Libertadores,FAC,,,en,1.3
evening,evening,TIME,,,en,1.3
Aragonese,Aragonese,NORP,,,en,1.3
Weekend,Weekend,DATE,,,en,1.3
the last few weeks,the last few weeks,DATE,,,en,1.3
the Australian Open,the Australian Open,EVENT,,,en,1.3
last year,last year,DATE,,,en,1.3
Seven,Seven,CARDINAL,,,en,1.3
more than 15,more than 15,CARDINAL,,,en,1.3
the Río de la Plata,the Río de la Plata,FAC,,,en,1.3
29,29,CARDINAL,,,en,1.3
Ukrainian,Ukrainian,NORP,,,en,1.3
almost three decades,almost three decades,DATE,,,en,1.3
24 hours,24 hours,TIME,,,en,1.3
46th,46th,ORDINAL,,,en,1.3
38,38,CARDINAL,,,en,1.3
a month,a month,DATE,,,en,1.3
the 21st century,the 21st century,DATE,,,en,1.3
1976,1976,DATE,,,en,1.3
the night,the night,TIME,,,en,1.3
Andean,Andean,NORP,,,en,1.3
North American,North American,NORP,,,en,1.3
2,2,CARDINAL,,,en,1.3
78,78,CARDINAL,,,en,1.3
Soviet,Soviet,NORP,,,en,1.3
2023,2023,DATE,,,en,1.3
30°,30°,QUANTITY,,,en,1.3
the beginning of the year,the beginning of the year,DATE,,,en,1.3
more than a hundred,more than a hundred,CARDINAL,,,en,1.3
Spring weekend,Spring weekend,DATE,,,en,1.3
20 degrees,20 degrees,QUANTITY,,,en,1.3
"2,000 meters","2,000 meters",QUANTITY,,,en,1.3
the month of January,the month of January,DATE,,,en,1.3
a year later,a year later,DATE,,,en,1.3
80 years old,80 years old,DATE,,,en,1.3
100,100,CARDINAL,,,en,1.3
100 days,100 days,DATE,,,en,1.3
176,176,CARDINAL,,,en,1.3
"more than 100,000","more than 100,000",CARDINAL,,,en,1.3
Chileans,Chileans,NORP,,,en,1.3
Four,Four,CARDINAL,,,en,1.3
80%,80%,PERCENT,,,en,1.3
eight years,eight years,DATE,,,en,1.3
year,year,DATE,,,en,1.3
A6,A6,CARDINAL,,,en,1.3
Last week,Last week,DATE,,,en,1.3
thousand,thousand,CARDINAL,,,en,1.3
36%,36%,PERCENT,,,en,1.3
This Saturday,This Saturday,DATE,,,en,1.3
the 1980s,the 1980s,DATE,,,en,1.3
Tonight,Tonight,TIME,,,en,1.3
Los Domingos,Los Domingos,WORK_OF_ART,0.3333333333333333,0.28205128205128205,en,1.3
the Goya Awards 2026,the Goya Awards 2026,EVENT,,,en,1.3
between 10 and 15 degrees,between 10 and 15 degrees,QUANTITY,,,en,1.3
Puerto Rican,Puerto Rican,NORP,-0.05,0.4,en,1.3
"Monday, March 9, 2026","Monday, March 9, 2026",DATE,,,en,1.3
15 million euros,15 million euros,MONEY,,,en,1.3
Moroccan,Moroccan,NORP,,,en,1.3
the Spanish Civil War,the Spanish Civil War,EVENT,,,en,1.3
FreeClip,FreeClip,PRODUCT,,,en,1.3
up to nine meters,up to nine meters,QUANTITY,,,en,1.3
60 days,60 days,DATE,,,en,1.3
Saudi,Saudi,NORP,,,en,1.3
March 2026,March 2026,DATE,,,en,1.3
six decades,six decades,DATE,,,en,1.3
the early hours of this Monday,the early hours of this Monday,TIME,,,en,1.3
a month and a half,a month and a half,DATE,,,en,1.3
December,December,DATE,,,en,1.3
Old Spice,Old Spice,PRODUCT,,,en,1.3
2005,2005,DATE,,,en,1.3
15 million,15 million,CARDINAL,,,en,1.3
August,August,DATE,,,en,1.3
ninth,ninth,ORDINAL,,,en,1.3
1965,1965,DATE,,,en,1.3
a second season,a second season,DATE,,,en,1.3
42,42,CARDINAL,,,en,1.3
the summer,the summer,DATE,,,en,1.3
$180 million,$180 million,MONEY,,,en,1.3
This year,This year,DATE,,,en,1.3
the last 40 years,the last 40 years,DATE,,,en,1.3
2020,2020,DATE,,,en,1.3
Andalusian,Andalusian,NORP,,,en,1.2
35 thousand,35 thousand,CARDINAL,,,en,1.2
2:00 p.m.,2:00 p.m.,TIME,,,en,1.2
British,British,NORP,,,en,1.2
Futttura,Futttura,NORP,,,en,1.2
one million,one million,CARDINAL,,,en,1.2
29 days,29 days,DATE,,,en,1.2
50,50,CARDINAL,,,en,1.2
1964,1964,DATE,,,en,1.2
Greens,Greens,NORP,,,en,1.2
the Panama Canal,the Panama Canal,FAC,,,en,1.0
Spring Showcase 2026,Spring Showcase 2026,EVENT,,,en,1.0
two decades ago,two decades ago,DATE,,,en,1.0
90%,90%,PERCENT,,,en,1.0
21 years,21 years,DATE,,,en,1.0
more than two decades,more than two decades,DATE,,,en,1.0
7.6,7.6,CARDINAL,,,en,1.0
Bolivian,Bolivian,NORP,,,en,1.0
the Future Games Show,the Future Games Show,EVENT,,,en,1.0
4%,4%,PERCENT,,,en,1.0
Games Show,Games Show,EVENT,,,en,1.0
South American,South American,NORP,,,en,1.0
up to 10 years,up to 10 years,DATE,,,en,1.0
18%,18%,PERCENT,,,en,1.0
80,80,CARDINAL,,,en,1.0
a Historical Monument,a Historical Monument,WORK_OF_ART,,,en,1.0
between 3% and 4%,between 3% and 4%,PERCENT,,,en,1.0
the beginning of April,the beginning of April,DATE,,,en,1.0
more than 700 million,more than 700 million,CARDINAL,,,en,1.0
more than 14 thousand,more than 14 thousand,CARDINAL,,,en,1.0
the XXV Prize,the XXV Prize,WORK_OF_ART,,,en,1.0
"4,000 years ago","4,000 years ago",DATE,,,en,1.0
"15,000","15,000",CARDINAL,,,en,1.0
Three days,Three days,DATE,,,en,1.0
"9,000","9,000",CARDINAL,,,en,1.0
Cubans,Cubans,NORP,,,en,1.0
every morning,every morning,TIME,,,en,1.0
the last afternoon,the last afternoon,TIME,,,en,1.0
Welsh,Welsh,NORP,,,en,1.0
the Cenco Malls,the Cenco Malls,FAC,,,en,1.0
a few hours later,a few hours later,TIME,,,en,1.0
early morning,early morning,TIME,,,en,1.0
135 mm,135 mm,QUANTITY,,,en,1.0
City Hall,City Hall,FAC,,,en,1.0
the Plaza de la Ciudadanía,the Plaza de la Ciudadanía,FAC,,,en,1.0
Sanriku,Sanriku,NORP,0.0,0.0,en,1.0
the Winter Storm,the Winter Storm,EVENT,,,en,1.0
"Last Thursday, March 5","Last Thursday, March 5",DATE,,,en,1.0
1912,1912,DATE,,,en,1.0
three days,three days,DATE,,,en,1.0
3D,3D,CARDINAL,,,en,1.0
a previous century,a previous century,DATE,,,en,1.0
46,46,DATE,,,en,1.0
the beginning of this week,the beginning of this week,DATE,,,en,1.0
last Friday,last Friday,DATE,,,en,1.0
De,De,WORK_OF_ART,,,en,1.0
the new season,the new season,DATE,,,en,1.0
7 degrees,7 degrees,QUANTITY,,,en,1.0
268,268,CARDINAL,,,en,1.0
next month,next month,DATE,,,en,1.0
TODAY,TODAY,DATE,,,en,1.0
this March 9,this March 9,DATE,,,en,1.0
The four years,The four years,DATE,,,en,1.0
"today, March 9","today, March 9",DATE,,,en,1.0
five centimeters,five centimeters,QUANTITY,,,en,1.0
an unstable weekend,an unstable weekend,DATE,,,en,1.0
"more than 20,000","more than 20,000",CARDINAL,,,en,1.0
the most active month,the most active month,DATE,,,en,1.0
Ice King,Ice King,FAC,,,en,1.0
Fortnite Showdown,Fortnite Showdown,WORK_OF_ART,,,en,1.0
"today, Wednesday, March 11, 2026","today, Wednesday, March 11, 2026",DATE,,,en,1.0
the new month,the new month,DATE,,,en,1.0
this 2026,this 2026,DATE,,,en,1.0
this day of March 11,this day of March 11,DATE,,,en,1.0
the World Exhibition,the World Exhibition,EVENT,,,en,1.0
Nvidia,Nvidia,WORK_OF_ART,,,en,1.0
the Paseo de la Marina Española,the Paseo de la Marina Española,FAC,,,en,1.0
90 minutes,90 minutes,TIME,,,en,1.0
another year,another year,DATE,,,en,1.0
Euphoria,Euphoria,WORK_OF_ART,,,en,1.0
September 25,September 25,DATE,,,en,1.0
Ecuadorian,Ecuadorian,NORP,,,en,1.0
the years,the years,DATE,,,en,1.0
1936-1939,1936-1939,DATE,,,en,1.0
republican,republican,NORP,,,en,1.0
the Grand Prix,the Grand Prix,EVENT,,,en,1.0
the 70 mm,the 70 mm,QUANTITY,,,en,1.0
48 hours,48 hours,TIME,,,en,1.0
37 years,37 years,DATE,,,en,1.0
week,week,DATE,,,en,1.0
"this Saturday, March 21","this Saturday, March 21",DATE,,,en,1.0
twelve years,twelve years,DATE,,,en,1.0
the end of January,the end of January,DATE,,,en,1.0
"June 30, 1813","June 30, 1813",DATE,,,en,1.0
Nadal Prize,Nadal Prize,WORK_OF_ART,,,en,1.0
421 million dollars,421 million dollars,MONEY,,,en,1.0
between 2010 and 2025,between 2010 and 2025,DATE,,,en,1.0
May 2 holiday,May 2 holiday,DATE,,,en,1.0
9 p.m.,9 p.m.,TIME,,,en,1.0
the Temerario GT3,the Temerario GT3,PRODUCT,,,en,1.0
the 12 Hours,the 12 Hours,TIME,,,en,1.0
GT3,GT3,PRODUCT,,,en,1.0
Mustang,Mustang,PRODUCT,,,en,1.0
the second consecutive year,the second consecutive year,DATE,,,en,1.0
Two million,Two million,CARDINAL,,,en,1.0
Gazans,Gazans,NORP,,,en,1.0
Half a year,Half a year,DATE,,,en,1.0
50 million,50 million,CARDINAL,,,en,1.0
Grand Prix,Grand Prix,EVENT,,,en,1.0
the 2026 season,the 2026 season,DATE,,,en,1.0
52 days,52 days,DATE,,,en,1.0
"Some 8,000","Some 8,000",CARDINAL,,,en,1.0
Soviets,Soviets,NORP,,,en,1.0
30ºC,30ºC,CARDINAL,,,en,1.0
English,English,LANGUAGE,,,en,1.0
Unbelievably Cool,Unbelievably Cool,WORK_OF_ART,,,en,1.0
Cold Spice,Cold Spice,WORK_OF_ART,,,en,1.0
Marketing Direct,Marketing Direct,WORK_OF_ART,,,en,1.0
"122,000","122,000",CARDINAL,,,en,1.0
the Prado Museum,the Prado Museum,FAC,,,en,1.0
its season 3,its season 3,DATE,,,en,1.0
The first month,The first month,DATE,,,en,1.0
March 26,March 26,DATE,,,en,1.0
"16,000","16,000",CARDINAL,,,en,1.0
1990,1990,DATE,,,en,1.0
10 million,10 million,CARDINAL,,,en,1.0
ten million,ten million,CARDINAL,,,en,1.0
5.8,5.8,CARDINAL,,,en,1.0
Tenere,Tenere,PRODUCT,,,en,1.0
midday this Tuesday,midday this Tuesday,DATE,,,en,1.0
II,II,PRODUCT,,,en,1.0
the four meters,the four meters,QUANTITY,,,en,1.0
​​the days,​​the days,DATE,,,en,1.0
the Laguna chairlift,the Laguna chairlift,FAC,,,en,1.0
Vail Mountain,Vail Mountain,FAC,,,en,1.0
the hours,the hours,TIME,,,en,1.0
11%,11%,PERCENT,,,en,1.0
Xbox Series,Xbox Series,EVENT,,,en,1.0
Stranger Things:,Stranger Things:,WORK_OF_ART,,,en,1.0
Season 2,Season 2,DATE,,,en,1.0
a calmer day,a calmer day,DATE,,,en,1.0
the second half of March,the second half of March,DATE,,,en,1.0
a normal day,a normal day,DATE,,,en,1.0
50 millimeters,50 millimeters,QUANTITY,,,en,1.0
the Jones Act,the Jones Act,LAW,,,en,1.0
"2,600 years","2,600 years",DATE,,,en,1.0
Portuguese,Portuguese,NORP,,,en,1.0
more than 300 km,more than 300 km,QUANTITY,,,en,1.0
at least 66,at least 66,CARDINAL,,,en,1.0
more than US$ 5,more than US$ 5,MONEY,,,en,1.0
this last week,this last week,DATE,,,en,1.0
Instagram,Instagram,WORK_OF_ART,,,en,1.0
May 1 long weekend,May 1 long weekend,DATE,,,en,1.0
Weeks,Weeks,DATE,,,en,1.0
"some 4,700","some 4,700",CARDINAL,,,en,1.0
the Night of Failures 2026,the Night of Failures 2026,WORK_OF_ART,,,en,1.0
26 centuries,26 centuries,DATE,,,en,1.0
Summits are like Lollapaloozas of climate change,Summits are like Lollapaloozas of climate change,WORK_OF_ART,,,en,1.0
Sirat,Sirat,WORK_OF_ART,,,en,1.0
the year this Saturday,the year this Saturday,DATE,,,en,1.0
its first day,its first day,DATE,,,en,1.0
3.5,3.5,CARDINAL,,,en,1.0
Goya Awards,Goya Awards,EVENT,,,en,1.0
almost 150 days,almost 150 days,DATE,,,en,1.0
Anglo,Anglo,NORP,,,en,1.0
"170,000","170,000",CARDINAL,,,en,1.0
"today, Sunday, March 1","today, Sunday, March 1",DATE,,,en,1.0
"2,000 years ago","2,000 years ago",DATE,,,en,1.0
tonight,tonight,TIME,,,en,1.0
120 million,120 million,CARDINAL,,,en,1.0
"3,000","3,000",CARDINAL,,,en,1.0
Liberation Day,Liberation Day,WORK_OF_ART,,,en,1.0
April 2025,April 2025,DATE,,,en,1.0
a start to the week,a start to the week,DATE,,,en,1.0
up to 75 mm,up to 75 mm,QUANTITY,,,en,1.0
weekend,weekend,DATE,,,en,1.0
3.6 million,3.6 million,CARDINAL,,,en,1.0
26%,26%,PERCENT,,,en,1.0
the Cold War,the Cold War,EVENT,,,en,1.0
a few days ago,a few days ago,DATE,,,en,1.0
"This Saturday, February 28","This Saturday, February 28",DATE,,,en,1.0
the great festival,the great festival,EVENT,,,en,1.0
last minute,last minute,TIME,,,en,1.0
Castilla-La Mancha,Castilla-La Mancha,FAC,,,en,1.0
only six,only six,CARDINAL,,,en,1.0
the beginning of summer than spring,the beginning of summer than spring,DATE,,,en,1.0
April 21,April 21,DATE,,,en,1.0
January of this year,January of this year,DATE,,,en,1.0
recent months,recent months,DATE,,,en,1.0
April 15,April 15,DATE,,,en,1.0
18 years,18 years,DATE,,,en,1.0
26 thousand dollars,26 thousand dollars,MONEY,,,en,1.0
Last night,Last night,TIME,,,en,1.0
the Labor Modernization Law,the Labor Modernization Law,LAW,,,en,1.0
a Tax Reform chapter,a Tax Reform chapter,LAW,,,en,1.0
Gizmodo,Gizmodo,PRODUCT,,,en,1.0
between 09:00 and 10:30,between 09:00 and 10:30,TIME,,,en,1.0
Sirât,Sirât,WORK_OF_ART,,,en,1.0
Le Marche,Le Marche,FAC,,,en,1.0
